SMILES,C,H,O
[C]1[C][O][CH]1,3,1,1
[C]1[C][O][C]1,3,0,1
[C]1[C][O][O]1,2,0,2
[C]1[O][CH2][O]1,2,2,2
[C]1[O][CH][O]1,2,1,2
[C]1[O][C][O]1,2,0,2
[C]1[O][O][O]1,1,0,3
[C]=[CH][CH2][CH2],4,5,0
[C]=[CH][CH2][CH3],4,6,0
[C]=[CH][CH2][CH],4,4,0
[C]=[CH][CH2][OH],3,4,1
[C]=[CH][CH2][O],3,3,1
[C]=[CH][CH]=[CH2],4,4,0
[C]=[CH][CH]=[CH],4,3,0
[C]=[CH][CH]=[C],4,2,0
[C]=[CH][CH]=[O],3,2,1
[C]=[CH][CH][CH2],4,4,0
[C]=[CH][CH][CH3],4,5,0
[C]=[CH][CH][CH],4,3,0
[C]=[CH][CH][OH],3,3,1
[C]=[CH][CH][O],3,2,1
[C]=[CH][C]#[CH],4,2,0
[C]=[CH][C]#[C],4,1,0
[C]=[CH][C]=[CH2],4,3,0
[C]=[CH][C]=[CH],4,2,0
[C]=[CH][C]=[O],3,1,1
[C]=[CH][C][CH2],4,3,0
[C]=[CH][C][CH3],4,4,0
[C]=[CH][C][CH],4,2,0
[C]=[CH][C][OH],3,2,1
[C]=[CH][C][O],3,1,1
[C]=[CH][O][CH2],3,3,1
[C]=[CH][O][CH3],3,4,1
[C]=[CH][O][CH],3,2,1
[C]=[CH][O][OH],2,2,2
[C]=[CH][O][O],2,1,2
[C]=[C]([CH2])[CH2],4,4,0
[C]=[C]([CH2])[CH3],4,5,0
[C]=[C]([CH2])[OH],3,3,1
[C]=[C]([CH2])[O],3,2,1
[C]=[C]([CH3])[CH3],4,6,0
[C]=[C]([CH3])[OH],3,4,1
[C]=[C]([CH3])[O],3,3,1
[C]=[C]([CH])[CH2],4,3,0
[C]=[C]([CH])[CH3],4,4,0
[C]=[C]([CH])[CH],4,2,0
[C]=[C]([CH])[OH],3,2,1
[C]=[C]([CH])[O],3,1,1
[C]=[C]([OH])[OH],2,2,2
[C]=[C]([O])[OH],2,1,2
[C]=[C]([O])[O],2,0,2
[C]=[C]1[CH2][CH2]1,4,4,0
[C]=[C]1[CH2][O]1,3,2,1
[C]=[C]1[CH]=[CH]1,4,2,0
[C]=[C]1[CH][CH2]1,4,3,0
[C]=[C]1[CH][CH]1,4,2,0
[C]=[C]1[CH][O]1,3,1,1
[C]=[C]1[C]#[C]1,4,0,0
[C]=[C]1[C]=[CH]1,4,1,0
[C]=[C]1[C]=[C]1,4,0,0
[C]=[C]1[C][CH2]1,4,2,0
[C]=[C]1[C][CH]1,4,1,0
[C]=[C]1[C][C]1,4,0,0
[C]=[C]1[C][O]1,3,0,1
[C]=[C]1[O][O]1,2,0,2
[C]=[C]=[CH][CH2],4,3,0
[C]=[C]=[CH][CH3],4,4,0
[C]=[C]=[CH][CH],4,2,0
[C]=[C]=[CH][OH],3,2,1
[C]=[C]=[CH][O],3,1,1
[C]=[C]=[C]=[CH2],4,2,0
[C]=[C]=[C]=[CH],4,1,0
[C]=[C]=[C]=[C],4,0,0
[C]=[C]=[C]=[O],3,0,1
[C]=[C]=[C][CH2],4,2,0
[C]=[C]=[C][CH3],4,3,0
[C]=[C]=[C][CH],4,1,0
[C]=[C]=[C][OH],3,1,1
[C]=[C]=[C][O],3,0,1
[C]=[C][CH2][CH2],4,4,0
[C]=[C][CH2][CH3],4,5,0
[C]=[C][CH2][CH],4,3,0
[C]=[C][CH2][OH],3,3,1
[C]=[C][CH2][O],3,2,1
[C]=[C][CH]=[CH2],4,3,0
[C]=[C][CH]=[CH],4,2,0
[C]=[C][CH]=[C],4,1,0
[C]=[C][CH]=[O],3,1,1
[C]=[C][CH][CH2],4,3,0
[C]=[C][CH][CH3],4,4,0
[C]=[C][CH][CH],4,2,0
[C]=[C][CH][OH],3,2,1
[C]=[C][CH][O],3,1,1
[C]=[C][C]#[CH],4,1,0
[C]=[C][C]#[C],4,0,0
[C]=[C][C]=[CH2],4,2,0
[C]=[C][C]=[CH],4,1,0
[C]=[C][C]=[C],4,0,0
[C]=[C][C]=[O],3,0,1
[C]=[C][C][CH2],4,2,0
[C]=[C][C][CH3],4,3,0
[C]=[C][C][CH],4,1,0
[C]=[C][C][OH],3,1,1
[C]=[C][C][O],3,0,1
[C]=[C][O][CH2],3,2,1
[C]=[C][O][CH3],3,3,1
[C]=[C][O][CH],3,1,1
[C]=[C][O][OH],2,1,2
[C]=[C][O][O],2,0,2
[C][CH2][CH2][CH2],4,6,0
[C][CH2][CH2][CH3],4,7,0
[C][CH2][CH2][CH],4,5,0
[C][CH2][CH2][C],4,4,0
[C][CH2][CH2][OH],3,5,1
[C][CH2][CH2][O],3,4,1
[C][CH2][CH]=[CH2],4,5,0
[C][CH2][CH]=[CH],4,4,0
[C][CH2][CH]=[C],4,3,0
[C][CH2][CH]=[O],3,3,1
[C][CH2][CH][CH2],4,5,0
[C][CH2][CH][CH3],4,6,0
[C][CH2][CH][CH],4,4,0
[C][CH2][CH][OH],3,4,1
[C][CH2][CH][O],3,3,1
[C][CH2][C]#[CH],4,3,0
[C][CH2][C]#[C],4,2,0
[C][CH2][C]=[CH2],4,4,0
[C][CH2][C]=[CH],4,3,0
[C][CH2][C]=[C],4,2,0
[C][CH2][C]=[O],3,2,1
[C][CH2][C][CH2],4,4,0
[C][CH2][C][CH3],4,5,0
[C][CH2][C][CH],4,3,0
[C][CH2][C][OH],3,3,1
[C][CH2][C][O],3,2,1
[C][CH2][O][CH2],3,4,1
[C][CH2][O][CH3],3,5,1
[C][CH2][O][CH],3,3,1
[C][CH2][O][C],3,2,1
[C][CH2][O][OH],2,3,2
[C][CH2][O][O],2,2,2
[C][CH]([CH2])[CH2],4,5,0
[C][CH]([CH2])[CH3],4,6,0
[C][CH]([CH2])[OH],3,4,1
[C][CH]([CH2])[O],3,3,1
[C][CH]([CH3])[CH3],4,7,0
[C][CH]([CH3])[OH],3,5,1
[C][CH]([CH3])[O],3,4,1
[C][CH]([CH])[CH2],4,4,0
[C][CH]([CH])[CH3],4,5,0
[C][CH]([CH])[CH],4,3,0
[C][CH]([CH])[OH],3,3,1
[C][CH]([CH])[O],3,2,1
[C][CH]([C])[CH2],4,3,0
[C][CH]([C])[CH3],4,4,0
[C][CH]([C])[CH],4,2,0
[C][CH]([C])[C],4,1,0
[C][CH]([C])[OH],3,2,1
[C][CH]([C])[O],3,1,1
[C][CH]([OH])[OH],2,3,2
[C][CH]([O])[OH],2,2,2
[C][CH]([O])[O],2,1,2
[C][CH]1[CH2][CH2]1,4,5,0
[C][CH]1[CH2][O]1,3,3,1
[C][CH]1[CH]=[CH]1,4,3,0
[C][CH]1[CH][CH2]1,4,4,0
[C][CH]1[CH][CH]1,4,3,0
[C][CH]1[CH][O]1,3,2,1
[C][CH]1[C]#[C]1,4,1,0
[C][CH]1[C]=[CH]1,4,2,0
[C][CH]1[C]=[C]1,4,1,0
[C][CH]1[C][CH2]1,4,3,0
[C][CH]1[C][CH]1,4,2,0
[C][CH]1[C][C]1,4,1,0
[C][CH]1[C][O]1,3,1,1
[C][CH]1[O][O]1,2,1,2
[C][CH]=[CH][CH2],4,4,0
[C][CH]=[CH][CH3],4,5,0
[C][CH]=[CH][CH],4,3,0
[C][CH]=[CH][C],4,2,0
[C][CH]=[CH][OH],3,3,1
[C][CH]=[CH][O],3,2,1
[C][CH]=[C]=[CH2],4,3,0
[C][CH]=[C]=[CH],4,2,0
[C][CH]=[C]=[C],4,1,0
[C][CH]=[C]=[O],3,1,1
[C][CH]=[C][CH2],4,3,0
[C][CH]=[C][CH3],4,4,0
[C][CH]=[C][CH],4,2,0
[C][CH]=[C][OH],3,2,1
[C][CH]=[C][O],3,1,1
[C][CH][CH2][CH2],4,5,0
[C][CH][CH2][CH3],4,6,0
[C][CH][CH2][CH],4,4,0
[C][CH][CH2][C],4,3,0
[C][CH][CH2][OH],3,4,1
[C][CH][CH2][O],3,3,1
[C][CH][CH]=[CH2],4,4,0
[C][CH][CH]=[CH],4,3,0
[C][CH][CH]=[C],4,2,0
[C][CH][CH]=[O],3,2,1
[C][CH][CH][CH2],4,4,0
[C][CH][CH][CH3],4,5,0
[C][CH][CH][CH],4,3,0
[C][CH][CH][C],4,2,0
[C][CH][CH][OH],3,3,1
[C][CH][CH][O],3,2,1
[C][CH][C]#[CH],4,2,0
[C][CH][C]#[C],4,1,0
[C][CH][C]=[CH2],4,3,0
[C][CH][C]=[CH],4,2,0
[C][CH][C]=[C],4,1,0
[C][CH][C]=[O],3,1,1
[C][CH][C][CH2],4,3,0
[C][CH][C][CH3],4,4,0
[C][CH][C][CH],4,2,0
[C][CH][C][OH],3,2,1
[C][CH][C][O],3,1,1
[C][CH][O][CH2],3,3,1
[C][CH][O][CH3],3,4,1
[C][CH][O][CH],3,2,1
[C][CH][O][C],3,1,1
[C][CH][O][OH],2,2,2
[C][CH][O][O],2,1,2
[C][C]#[C][CH2],4,2,0
[C][C]#[C][CH3],4,3,0
[C][C]#[C][CH],4,1,0
[C][C]#[C][C],4,0,0
[C][C]#[C][OH],3,1,1
[C][C]#[C][O],3,0,1
[C][C](=[CH2])[CH3],4,5,0
[C][C](=[CH2])[OH],3,3,1
[C][C](=[CH2])[O],3,2,1
[C][C](=[CH])[CH2],4,3,0
[C][C](=[CH])[CH3],4,4,0
[C][C](=[CH])[OH],3,2,1
[C][C](=[CH])[O],3,1,1
[C][C](=[C])[CH2],4,2,0
[C][C](=[C])[CH3],4,3,0
[C][C](=[C])[CH],4,1,0
[C][C](=[C])[OH],3,1,1
[C][C](=[C])[O],3,0,1
[C][C](=[O])[OH],2,1,2
[C][C]([CH2])=[CH2],4,4,0
[C][C]([CH2])=[O],3,2,1
[C][C]([CH2])[CH2],4,4,0
[C][C]([CH2])[CH3],4,5,0
[C][C]([CH2])[OH],3,3,1
[C][C]([CH2])[O],3,2,1
[C][C]([CH3])=[O],3,3,1
[C][C]([CH3])[CH3],4,6,0
[C][C]([CH3])[OH],3,4,1
[C][C]([CH3])[O],3,3,1
[C][C]([CH])=[CH2],4,3,0
[C][C]([CH])=[CH],4,2,0
[C][C]([CH])=[O],3,1,1
[C][C]([CH])[CH2],4,3,0
[C][C]([CH])[CH3],4,4,0
[C][C]([CH])[CH],4,2,0
[C][C]([CH])[OH],3,2,1
[C][C]([CH])[O],3,1,1
[C][C]([C])=[CH2],4,2,0
[C][C]([C])=[CH],4,1,0
[C][C]([C])=[C],4,0,0
[C][C]([C])=[O],3,0,1
[C][C]([C])[CH2],4,2,0
[C][C]([C])[CH3],4,3,0
[C][C]([C])[CH],4,1,0
[C][C]([C])[C],4,0,0
[C][C]([C])[OH],3,1,1
[C][C]([C])[O],3,0,1
[C][C]([OH])[OH],2,2,2
[C][C]([O])=[O],2,0,2
[C][C]([O])[OH],2,1,2
[C][C]([O])[O],2,0,2
[C][C]1=[CH][CH2]1,4,3,0
[C][C]1=[CH][CH]1,4,2,0
[C][C]1=[CH][C]1,4,1,0
[C][C]1=[CH][O]1,3,1,1
[C][C]1=[C]=[CH]1,4,1,0
[C][C]1=[C]=[C]1,4,0,0
[C][C]1=[C][CH2]1,4,2,0
[C][C]1=[C][CH]1,4,1,0
[C][C]1=[C][C]1,4,0,0
[C][C]1=[C][O]1,3,0,1
[C][C]1[CH2][CH2]1,4,4,0
[C][C]1[CH2][O]1,3,2,1
[C][C]1[CH]=[CH]1,4,2,0
[C][C]1[CH][CH2]1,4,3,0
[C][C]1[CH][CH]1,4,2,0
[C][C]1[CH][O]1,3,1,1
[C][C]1[C]#[C]1,4,0,0
[C][C]1[C]=[CH]1,4,1,0
[C][C]1[C]=[C]1,4,0,0
[C][C]1[C][CH2]1,4,2,0
[C][C]1[C][CH]1,4,1,0
[C][C]1[C][C]1,4,0,0
[C][C]1[C][O]1,3,0,1
[C][C]1[O][O]1,2,0,2
[C][C]=[CH][CH2],4,3,0
[C][C]=[CH][CH3],4,4,0
[C][C]=[CH][CH],4,2,0
[C][C]=[CH][C],4,1,0
[C][C]=[CH][OH],3,2,1
[C][C]=[CH][O],3,1,1
[C][C]=[C]=[CH2],4,2,0
[C][C]=[C]=[CH],4,1,0
[C][C]=[C]=[C],4,0,0
[C][C]=[C]=[O],3,0,1
[C][C]=[C][CH2],4,2,0
[C][C]=[C][CH3],4,3,0
[C][C]=[C][CH],4,1,0
[C][C]=[C][C],4,0,0
[C][C]=[C][OH],3,1,1
[C][C]=[C][O],3,0,1
[C][C][CH2][CH2],4,4,0
[C][C][CH2][CH3],4,5,0
[C][C][CH2][CH],4,3,0
[C][C][CH2][C],4,2,0
[C][C][CH2][OH],3,3,1
[C][C][CH2][O],3,2,1
[C][C][CH]=[CH2],4,3,0
[C][C][CH]=[CH],4,2,0
[C][C][CH]=[C],4,1,0
[C][C][CH]=[O],3,1,1
[C][C][CH][CH2],4,3,0
[C][C][CH][CH3],4,4,0
[C][C][CH][CH],4,2,0
[C][C][CH][C],4,1,0
[C][C][CH][OH],3,2,1
[C][C][CH][O],3,1,1
[C][C][C]#[CH],4,1,0
[C][C][C]#[C],4,0,0
[C][C][C]=[CH2],4,2,0
[C][C][C]=[CH],4,1,0
[C][C][C]=[C],4,0,0
[C][C][C]=[O],3,0,1
[C][C][C][CH2],4,2,0
[C][C][C][CH3],4,3,0
[C][C][C][CH],4,1,0
[C][C][C][C],4,0,0
[C][C][C][OH],3,1,1
[C][C][C][O],3,0,1
[C][C][O][CH2],3,2,1
[C][C][O][CH3],3,3,1
[C][C][O][CH],3,1,1
[C][C][O][C],3,0,1
[C][C][O][OH],2,1,2
[C][C][O][O],2,0,2
[C][O][CH2][CH2],3,4,1
[C][O][CH2][CH3],3,5,1
[C][O][CH2][CH],3,3,1
[C][O][CH2][OH],2,3,2
[C][O][CH2][O],2,2,2
[C][O][CH]=[CH2],3,3,1
[C][O][CH]=[CH],3,2,1
[C][O][CH]=[C],3,1,1
[C][O][CH]=[O],2,1,2
[C][O][CH][CH2],3,3,1
[C][O][CH][CH3],3,4,1
[C][O][CH][CH],3,2,1
[C][O][CH][OH],2,2,2
[C][O][CH][O],2,1,2
[C][O][C]#[CH],3,1,1
[C][O][C]#[C],3,0,1
[C][O][C]=[CH2],3,2,1
[C][O][C]=[CH],3,1,1
[C][O][C]=[C],3,0,1
[C][O][C]=[O],2,0,2
[C][O][C][CH2],3,2,1
[C][O][C][CH3],3,3,1
[C][O][C][CH],3,1,1
[C][O][C][OH],2,1,2
[C][O][C][O],2,0,2
[C][O][O][CH2],2,2,2
[C][O][O][CH3],2,3,2
[C][O][O][CH],2,1,2
[C][O][O][C],2,0,2
[C][O][O][OH],1,1,3
[C][O][O][O],1,0,3
[OH][CH2][CH2][OH],2,6,2
[OH][CH2][O][OH],1,4,3
[OH][CH]([OH])[OH],1,4,3
[OH][CH]1[CH2][CH2]1,3,6,1
[OH][CH]1[CH2][O]1,2,4,2
[OH][CH]1[CH]=[CH]1,3,4,1
[OH][CH]1[CH][CH2]1,3,5,1
[OH][CH]1[CH][CH]1,3,4,1
[OH][CH]1[CH][O]1,2,3,2
[OH][CH]1[C]#[C]1,3,2,1
[OH][CH]1[C]=[CH]1,3,3,1
[OH][CH]1[C]=[C]1,3,2,1
[OH][CH]1[C][CH2]1,3,4,1
[OH][CH]1[C][CH]1,3,3,1
[OH][CH]1[C][C]1,3,2,1
[OH][CH]1[C][O]1,2,2,2
[OH][CH]1[O][O]1,1,2,3
[OH][CH]=[CH][OH],2,4,2
[OH][CH][CH2][OH],2,5,2
[OH][CH][CH][OH],2,4,2
[OH][CH][O][OH],1,3,3
[OH][C]#[C][OH],2,2,2
[OH][C]([OH])[OH],1,3,3
[OH][C]1=[CH][CH2]1,3,4,1
[OH][C]1=[CH][CH]1,3,3,1
[OH][C]1=[CH][C]1,3,2,1
[OH][C]1=[CH][O]1,2,2,2
[OH][C]1=[C]=[CH]1,3,2,1
[OH][C]1=[C]=[C]1,3,1,1
[OH][C]1=[C][CH2]1,3,3,1
[OH][C]1=[C][CH]1,3,2,1
[OH][C]1=[C][C]1,3,1,1
[OH][C]1=[C][O]1,2,1,2
[OH][C]1[CH2][CH2]1,3,5,1
[OH][C]1[CH2][O]1,2,3,2
[OH][C]1[CH]=[CH]1,3,3,1
[OH][C]1[CH][CH2]1,3,4,1
[OH][C]1[CH][CH]1,3,3,1
[OH][C]1[CH][O]1,2,2,2
[OH][C]1[C]#[C]1,3,1,1
[OH][C]1[C]=[CH]1,3,2,1
[OH][C]1[C]=[C]1,3,1,1
[OH][C]1[C][CH2]1,3,3,1
[OH][C]1[C][CH]1,3,2,1
[OH][C]1[C][C]1,3,1,1
[OH][C]1[C][O]1,2,1,2
[OH][C]1[O][O]1,1,1,3
[OH][C]=[CH][OH],2,3,2
[OH][C]=[C][OH],2,2,2
[OH][C][CH2][OH],2,4,2
[OH][C][CH][OH],2,3,2
[OH][C][C][OH],2,2,2
[OH][C][O][OH],1,2,3
[OH][O][O][OH],0,2,4
[O]1[CH]2[O][CH]12,2,2,2
[O]1[C]2[O][CH]12,2,1,2
[O]1[C]2[O][C]12,2,0,2
[O]1[O][O][O]1,0,0,4
[O]=[CH][CH2][OH],2,4,2
[O]=[CH][CH]=[O],2,2,2
[O]=[CH][CH][OH],2,3,2
[O]=[CH][C][OH],2,2,2
[O]=[CH][O][OH],1,2,3
[O]=[C]([OH])[OH],1,2,3
[O]=[C]1[CH2][CH2]1,3,4,1
[O]=[C]1[CH2][O]1,2,2,2
[O]=[C]1[CH][CH2]1,3,3,1
[O]=[C]1[CH][CH]1,3,2,1
[O]=[C]1[CH][O]1,2,1,2
[O]=[C]1[C][CH2]1,3,2,1
[O]=[C]1[C][CH]1,3,1,1
[O]=[C]1[C][C]1,3,0,1
[O]=[C]1[C][O]1,2,0,2
[O]=[C]1[O][O]1,1,0,3
[O]=[C]=[CH][OH],2,2,2
[O]=[C]=[C]=[O],2,0,2
[O]=[C]=[C][OH],2,1,2
[O]=[C][CH2][OH],2,3,2
[O]=[C][CH]=[O],2,1,2
[O]=[C][CH][OH],2,2,2
[O]=[C][C]=[O],2,0,2
[O]=[C][C][OH],2,1,2
[O]=[C][O][OH],1,1,3
[O]=[c]1[cH][cH]1,3,2,1
[O]=[c]1[c]#[c]1,3,0,1
[O]=[c]1[c][cH]1,3,1,1
[O]=[c]1[c][c]1,3,0,1
[O][CH2][CH2][OH],2,5,2
[O][CH2][CH2][O],2,4,2
[O][CH2][CH]=[O],2,3,2
[O][CH2][CH][OH],2,4,2
[O][CH2][C]=[O],2,2,2
[O][CH2][C][OH],2,3,2
[O][CH2][O][OH],1,3,3
[O][CH2][O][O],1,2,3
[O][CH]([OH])[OH],1,3,3
[O][CH]([O])[OH],1,2,3
[O][CH]([O])[O],1,1,3
[O][CH]1[CH2][CH2]1,3,5,1
[O][CH]1[CH2][O]1,2,3,2
[O][CH]1[CH]=[CH]1,3,3,1
[O][CH]1[CH][CH2]1,3,4,1
[O][CH]1[CH][CH]1,3,3,1
[O][CH]1[CH][O]1,2,2,2
[O][CH]1[C]#[C]1,3,1,1
[O][CH]1[C]=[CH]1,3,2,1
[O][CH]1[C]=[C]1,3,1,1
[O][CH]1[C][CH2]1,3,3,1
[O][CH]1[C][CH]1,3,2,1
[O][CH]1[C][C]1,3,1,1
[O][CH]1[C][O]1,2,1,2
[O][CH]1[O][O]1,1,1,3
[O][CH]=[CH][OH],2,3,2
[O][CH]=[CH][O],2,2,2
[O][CH]=[C]=[O],2,1,2
[O][CH]=[C][OH],2,2,2
[O][CH][CH2][OH],2,4,2
[O][CH][CH2][O],2,3,2
[O][CH][CH]=[O],2,2,2
[O][CH][CH][OH],2,3,2
[O][CH][CH][O],2,2,2
[O][CH][C]=[O],2,1,2
[O][CH][C][OH],2,2,2
[O][CH][O][OH],1,2,3
[O][CH][O][O],1,1,3
[O][C]#[C][OH],2,1,2
[O][C]#[C][O],2,0,2
[O][C](=[O])[OH],1,1,3
[O][C]([OH])[OH],1,2,3
[O][C]([O])=[O],1,0,3
[O][C]([O])[OH],1,1,3
[O][C]([O])[O],1,0,3
[O][C]1=[CH][CH2]1,3,3,1
[O][C]1=[CH][CH]1,3,2,1
[O][C]1=[CH][C]1,3,1,1
[O][C]1=[CH][O]1,2,1,2
[O][C]1=[C]=[CH]1,3,1,1
[O][C]1=[C]=[C]1,3,0,1
[O][C]1=[C][CH2]1,3,2,1
[O][C]1=[C][CH]1,3,1,1
[O][C]1=[C][C]1,3,0,1
[O][C]1=[C][O]1,2,0,2
[O][C]1[CH2][CH2]1,3,4,1
[O][C]1[CH2][O]1,2,2,2
[O][C]1[CH]=[CH]1,3,2,1
[O][C]1[CH][CH2]1,3,3,1
[O][C]1[CH][CH]1,3,2,1
[O][C]1[CH][O]1,2,1,2
[O][C]1[C]#[C]1,3,0,1
[O][C]1[C]=[CH]1,3,1,1
[O][C]1[C]=[C]1,3,0,1
[O][C]1[C][CH2]1,3,2,1
[O][C]1[C][CH]1,3,1,1
[O][C]1[C][C]1,3,0,1
[O][C]1[C][O]1,2,0,2
[O][C]1[O][O]1,1,0,3
[O][C]=[CH][OH],2,2,2
[O][C]=[CH][O],2,1,2
[O][C]=[C]=[O],2,0,2
[O][C]=[C][OH],2,1,2
[O][C]=[C][O],2,0,2
[O][C][CH2][OH],2,3,2
[O][C][CH2][O],2,2,2
[O][C][CH]=[O],2,1,2
[O][C][CH][OH],2,2,2
[O][C][CH][O],2,1,2
[O][C][C]=[O],2,0,2
[O][C][C][OH],2,1,2
[O][C][C][O],2,0,2
[O][C][O][OH],1,1,3
[O][C][O][O],1,0,3
[O][O][CH2][OH],1,3,3
[O][O][CH]=[O],1,1,3
[O][O][CH][OH],1,2,3
[O][O][C]=[O],1,0,3
[O][O][C][OH],1,1,3
[O][O][O][OH],0,1,4
[O][O][O][O],0,0,4
[cH]1[cH][o][o]1,2,2,2
[c]1[cH][o][o]1,2,1,2
[c]1[c][o][o]1,2,0,2
[c]1[o][o][c]#1,2,0,2
[o]1[c]2[o][c]1=2,2,0,2
